"SMILES", "Ki"
"C[C@H](Cc1ccccc1)NC[C@H](O)c1cc(O)cc(O)c1","2930.0"
"CC[C@@H](Cc1ccc(O)cc1)NC[C@H](O)c1cc(O)cc(O)c1","5760.0"
"OC(COc1cccc2[nH]c3ccccc3c12)CN1CCC(CN2C(=O)c3cccc4cc(O)cc(C2=O)c34)CC1","37.0"
"CCC[C@H](Cc1ccc(OC)cc1)NC[C@H](O)c1cc(O)cc(O)c1","250.03"
"CC[C@@H](Cc1ccc(OC)cc1)NC[C@H](O)c1cc(O)cc(O)c1","4295.36"
"C[C@H](Cc1ncc(CCC(O)=O)s1)NCC(O)c1cccc(Cl)c1","11400.0"
"OC(COc1ccccc1CC=C)CN1CCOCC1","7.0"
"OC(COc1cccc2[nH]c3ccccc3c12)CN1CCC(CC1)C(=O)c1ccccc1","0.2"
"C[C@@H](Cc1ccc(O)cc1)NC[C@H](O)c1cc(O)cc(O)c1","183.0"
"O[C@@H](CNCCc1ccc(NC[C@H](O)c2ccccc2)cc1)c1ccc(O)c(NC=O)c1","3.162"
"COc1ccc(C[C@H](NC[C@H](O)c2cc(O)cc(O)c2)C(C)C)cc1","100000.0"
"CNC(=O)c1cccc(OCC(O)CNC2CCN(CC2)c2ncnc3scc(-c4ccccc4)c23)c1","370.0"
"CN1CCc2c(C1)c1cccc3-c4ccccc4CCn2c13","10000.0"
"OC(CNC1CCN(CC1)c1ncnc2scc(-c3cccs3)c12)COc1ccccc1","4.0"
"CCc1cc(OCC(O)CNC2CCN(CC2)c2ncnc3scc(-c4ccccc4)c23)ccc1O","11.0"
"OCc1cc(O)ccc1OCC(O)CNC1CCN(CC1)c1ncnc2scc(-c3ccccc3)c12","25.0"
"COc1ccc(cc1OC)[C@H](CCc1ccc(Cl)cc1)NC[C@H](O)Cc1ccc(O)c(NS(C)(=O)=O)c1","120.0"
"Cc1ccccc1C(=O)N1CCC(Cc2ccccc2)CC1",
"Oc1ccc2C[C@H]3N(CC=C)CC[C@@]45[C@@H](Oc1c24)C(CC[C@@]35O)=N\\N=C1/CC[C@@]2(O)[C@H]3Cc4ccc(O)c5O[C@@H]1[C@]2(CCN3CC=C)c45",
"CC(C)[C@H](N)C(=O)OCCOCn1cnc2c1[nH]c(N)nc2=O",
"OC(CNCCCCCCCCCN1CCC(CC1)OC(=O)Nc1ccccc1-c1ccccc1)c1ccc(O)c2[nH]c(=O)ccc12","13.0"
"S=C=Nc1cccc2ccccc12",
"COc1cc(CCNC[C@@H](O)c2ccc(O)c3[nH]c(=O)ccc23)ccc1OCCCc1ccccc1","23.0"
"COc1ccccc1OCCNC[C@H](O)COc1cccc2[nH]c3ccccc3c12","0.034"
"CC(C(O)=O)c1ccc(c(F)c1)-c1ccccc1",
"CC(C)[C@H]1NC(=O)[C@@H](NC(=O)c2ccc(C)c3oc-4c(C)c(=O)c(N)c(C(=O)N[C@H]5[C@@H](C)OC(=O)[C@H](C(C)C)N(C)C(=O)CN(C)C(=O)[C@@H]6CCCN6C(=O)[C@H](NC5=O)C(C)C)c-4nc23)[C@@H](C)OC(=O)[C@H](C(C)C)N(C)C(=O)CN(C)C(=O)[C@@H]2CCCN2C1=O",
"C[C@]12C[C@H](O)[C@@]3(F)[C@@H](CCC4=CC(=O)C=C[C@]34C)[C@@H]1C[C@@H](O)[C@]2(O)C(=O)CO",
