Key,Difference
KRFP4740,1.3088
KRFP887,1.3088
KRFP3150,1.3815
KRFP3191,1.3943
KRFP4192,1.3943
KRFP2568,1.3943
KRFP2981,1.4179
KRFP3593,1.4307
KRFP390,1.4799
KRFP483,1.4799
KRFP886,1.4799
KRFP3967,1.5291
KRFP3195,1.5291
KRFP4494,1.6018
KRFP4439,1.6018
KRFP4168,1.6018
KRFP4493,1.6018
KRFP2870,1.6146
KRFP3959,1.6146
KRFP2592,1.651
KRFP566,1.6597
KRFP4856,1.7001
KRFP1638,1.7001
KRFP3682,1.783
KRFP2585,1.7857
KRFP3707,1.7857
KRFP3415,1.7965
KRFP3820,1.9204
KRFP1013,1.9312
KRFP665,1.944
KRFP297,1.9824
KRFP3816,2.006
KRFP3357,2.0915
KRFP34,2.1279
KRFP459,2.1407
KRFP3224,2.2026
KRFP397,2.2134
KRFP1932,2.2626
KRFP973,2.3118
KRFP381,2.3973
KRFP3750,2.4229
KRFP3081,2.4829
KRFP4077,2.532
KRFP4074,2.532
KRFP2261,2.532
KRFP1055,2.5684
KRFP506,2.6048
KRFP3710,2.6135
KRFP3171,2.7031
KRFP1578,2.7031
KRFP3898,2.7523
KRFP3809,2.7759
KRFP4695,2.823
KRFP458,2.825
KRFP339,2.9106
KRFP138,2.9106
KRFP3400,2.9234
KRFP4296,3.0453
KRFP4254,3.0817
KRFP3899,3.1437
KRFP3765,3.1437
KRFP2986,3.2036
KRFP3440,3.2036
KRFP3139,3.2272
KRFP3738,3.2292
KRFP3704,3.3242
KRFP3396,3.3363
KRFP2037,3.473
KRFP2703,3.473
KRFP2137,3.4966
KRFP2708,3.6697
KRFP3727,3.8772
KRFP593,3.8772
KRFP3757,4.0442
KRFP3161,4.0591
KRFP3934,4.0611
KRFP414,4.0975
KRFP782,4.0975
KRFP2979,4.0975
KRFP786,4.1574
KRFP2714,4.3049
KRFP3741,4.3501
KRFP2241,4.4396
KRFP3399,4.4396
KRFP4005,4.4504
KRFP33,4.4524
KRFP4755,4.4524
KRFP3089,4.5124
KRFP3051,4.5252
KRFP605,4.5299
KRFP2038,4.5744
KRFP189,4.5872
KRFP4261,4.8438
KRFP4006,4.8909
KRFP638,4.9037
KRFP4827,4.9037
KRFP3149,4.9293
KRFP331,5.0876
KRFP3730,5.2587
KRFP3369,5.4494
KRFP648,5.4918
