KEYS,5ht1a,5ht7,beta2,d2,h1,SMARTS
KLEK_1560,0,0,0,0,0,[!#1]C1(F)OC([!#1])(F)C([!#1])(F)C1([!#1])F
KLEK_1561,0,0,0,0,0,[!#1]C1(F)OC(F)(F)C(F)(F)C1(F)F
KLEK_1562,0,0,0,0,0,[!#1]C1(O[CH]2[CH]=[CH]1)[CH]3[CH]2C(=O)N(C3=O)c4[cH][cH][cH][cH][cH]4
KLEK_1563,0,0,0,0,0,[!#1]C1(Oc2[cH][cH][cH][cH]c2O1)C(Cl)(Cl)Cl
KLEK_1564,452,335,90,1469,170,[!#1]c1[cH][cH][cH][cH][cH]1
KLEK_1565,1,1,0,4,0,[!#1]c1[cH][cH][cH][cH][n+]1[!#1]
KLEK_1566,874,728,77,2242,232,[!#1]c1[cH][cH][cH][cH]c1[!#1]
KLEK_1567,0,0,0,1,0,[!#1]c1[cH][cH][cH][cH]c1[CH2][CH3]
KLEK_1568,19,23,3,26,4,[!#1]c1[cH][cH][cH][cH]c1[CH3]
KLEK_1569,4,3,0,5,1,[!#1]c1[cH][cH][cH][cH]c1[N+](=O)[O-]
KLEK_1570,1,0,0,0,0,[!#1]c1[cH][cH][cH][cH]c1[NH2]
KLEK_1571,8,25,0,16,0,[!#1]c1[cH][cH][cH][cH]c1[OH]
KLEK_1572,5,5,0,4,0,[!#1]c1[cH][cH][cH][cH]c1Br
KLEK_1573,11,2,0,26,1,[!#1]c1[cH][cH][cH][cH]c1C#N
KLEK_1574,0,0,0,0,0,[!#1]c1[cH][cH][cH][cH]c1C(=O)[CH3]
KLEK_1575,0,0,0,0,0,[!#1]c1[cH][cH][cH][cH]c1C(=O)[OH]
KLEK_1576,0,0,0,0,0,[!#1]c1[cH][cH][cH][cH]c1C(=O)c2[cH]c([!#1])nnc2[!#1]
KLEK_1577,3,3,0,17,0,[!#1]c1[cH][cH][cH][cH]c1C(F)(F)F
KLEK_1578,38,39,3,18,1,[!#1]c1[cH][cH][cH][cH]c1c2[cH][cH][cH][cH][cH]2
KLEK_1579,2,7,0,0,0,[!#1]c1[cH][cH][cH][cH]c1c2[cH][cH][cH][cH]c2[!#1]
KLEK_1580,0,0,0,0,0,[!#1]c1[cH][cH][cH][cH]c1c2n[nH]c(=S)[nH]c2=O
KLEK_1581,0,0,0,0,0,[!#1]c1[cH][cH][cH][cH]c1c2nc3[cH][cH][cH][cH]c3c(=O)[nH]2
