KEYS,5ht1a,5ht7,beta2,d2,h1,SMARTS
KLEK_3523,8,5,2,5,1,Cc1cc2ccccc2n1C
KLEK_3524,11,1,1,26,2,Cc1ccc(Br)cc1
KLEK_3525,0,0,0,0,0,Cc1ccc(Br)s1
KLEK_3526,0,1,0,3,0,Cc1ccc(C)[nH]1
KLEK_3527,20,4,5,124,8,Cc1ccc(C)c(C)c1
KLEK_3528,75,29,11,407,40,Cc1ccc(C)cc1
KLEK_3529,0,0,0,0,0,Cc1ccc(C)n1c2ccccc2
KLEK_3530,1,1,0,1,1,Cc1ccc(C)o1
KLEK_3531,0,0,0,0,0,Cc1ccc(C=N)o1
KLEK_3532,0,0,0,0,0,Cc1ccc(C=NNC=O)o1
KLEK_3533,15,9,0,78,29,Cc1ccc(C=O)cc1
