SMILES,Ki,Klek
C[C@H](Cc1cccc(N)c1)NC[C@H](O)c1cc(O)cc(O)c1,1864.0,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000022B658C9B80>
CCOC(=O)c1ncn-2c1CN(C)C(=O)c1cc(F)ccc-21,,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000022B658C9BD0>
CN(C)CCC=C1c2ccccc2CCc2ccccc12,,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000022B658C9C20>
OC[C@@H]1CC[C@@H](O1)n1cnc2c1nc[nH]c2=O,,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000022B658C9C70>
CCCCC1CCN(CCCN2C(=O)CCc3ccccc23)CC1,43651.58,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000022B658C9CC0>
CC(C)c1ccccc1OCC(O)CN1CCN(CCN2C(=O)c3cccc4cccc(C2=O)c34)CC1,70.0,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000022B658C9D10>
OC(=O)CCCC[C@@H]1CCSS1,,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000022B658C9D60>
CC(C)(C)c1ccc(cc1)S(=O)(=O)\\C=C\\C#N,,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000022B658C9DB0>
CCCCN1CCCC[C@H]1C(=O)Nc1c(C)cccc1C,,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000022B658C9E00>
CC1=NN(C(=O)C1)c1ccccc1,,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000022B658C9E50>
OC(=O)CC(O)(CC(O)=O)C(O)=O,,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000022B658C9EF0>
Clc1ccc2Oc3ccccc3N=C(N3CCNCC3)c2c1,,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000022B658C9F40>
O=C1CCc2cc(OCCCCc3nnnn3C3CCCCC3)ccc2N1,,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000022B658C9F90>
CC(C)N[C@@H]1CCn2c3c(cccc3[nH]c2=O)[C@H]1O,320.0,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000022B658C9EA0>
NC[C@H]1O[C@H](O[C@@H]2[C@@H](N)C[C@@H](N)[C@H](O[C@H]3O[C@H](CO)[C@@H](O)[C@H](N)[C@H]3O)[C@H]2O)[C@H](N)C[C@@H]1O,,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000022B658CD0E0>
COc1ccc2cc(CCC(C)=O)ccc2c1,,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000022B658CD130>
Cl.CCCNCC(O)COc1ccc(cc1)C(=O)NCCc1ccc(cc1)S(N)(=O)=O,100000.0,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000022B658CD180>
O[C@@H](CN[C@@H](Cc1ccccc1)C(=O)NC1CCCCC1)c1ccc(O)c2[nH]c(=O)sc12,1000.0,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000022B658CD040>
O[C@@H](CNCCSc1ccc(Cl)cc1)c1ccc(O)c2[nH]c(=O)sc12,3.0,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000022B658CD090>
COC(=O)CSCCCc1ccccc1OCC(O)CNC(C)C,15.0,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000022B658CD1D0>
CCS(=O)(=O)CCn1c(C)ncc1[N+]([O-])=O,,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000022B658CD220>
OC(CNC1CCN(CC1)c1ncnc2sccc12)COc1ccc(O)cc1,589.0,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000022B658CD310>
OC(COc1ccccc1CC=C)CN1CCC(CN2C(=O)c3cccc4cc(O)cc(C2=O)c34)CC1,135.0,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000022B658CD2C0>
